z_cm qC23_t0001 qC23_t001 qC23_t01 qC23_t1 qC40_t0001 qC40_t001 qC40_t01 qC40_t1
0.31874999999999998 5.9344437161941059e-11 -0.0024495021588711555 -0.00064046169969718359 1.5173943429844991e-06 5.9344013391305048e-11 -0.0016504900863279434 0.0007510827560023198 7.2150103146313118e-07
0.32624999999999998 5.9333592162781528e-11 -0.0023613785976992919 -0.00062838180250233012 1.5508521670080259e-06 5.9339769222392007e-11 -0.0015675176330970687 0.00075257837684583292 7.5264453271760004e-07
0.33374999999999999 5.9327682860896672e-11 -0.002278949714500351 -0.00061485953379504174 1.5843989457039124e-06 5.9332688881638647e-11 -0.0014918745704657584 0.00075328147452865819 7.8464996125047902e-07
0.34125 5.9321250023592735e-11 -0.002201159821126068 -0.00059982183512633381 1.6179868295837006e-06 5.9326258797213295e-11 -0.001423403173074907 0.00075314604552027603 8.1750422316405617e-07
0.34875 5.9314921458992716e-11 -0.0021270213132438659 -0.00058338890041565545 1.6514198621387281e-06 5.931980746133501e-11 -0.001361519715787285 0.00075226359127947631 8.517283803335357e-07
0.35625000000000001 5.9307200028909264e-11 -0.0020555749167667152 -0.00056568252637273335 1.6845532517551179e-06 5.9314578280753404e-11 -0.0013053576319756682 0.00075064271713982543 8.8673272450777712e-07
0.36374999999999996 5.9303541202719841e-11 -0.0019859206730315575 -0.00054675301211714331 1.7172565591900735e-06 5.9312790266417448e-11 -0.001254160272187595 0.00074829536962700116 9.2235586461917318e-07
0.37124999999999997 5.9304128745909545e-11 -0.0019172849139711687 -0.00052674144799934308 1.7493998096488471e-06 5.9308880559870089e-11 -0.0012073156839735892 0.00074524161416630083 9.5874440029559157e-07
0.37874999999999998 5.9304185035843879e-11 -0.0018490681137668448 -0.00050573925811312208 1.7808569300903494e-06 5.9311450427178334e-11 -0.0011642175249358315 0.00074152227526383743 9.9578256684205253e-07
0.38624999999999998 5.9306193498951267e-11 -0.001780921822323373 -0.00048373728168812203 1.8115136028708205e-06 5.9310346150631857e-11 -0.0011242315820720859 0.00073719645466746098 1.0336140852598656e-06
0.39374999999999999 5.9309777382192114e-11 -0.0017127278140431363 -0.00046060938531186776 1.8412703448731659e-06 5.9305102951091289e-11 -0.0010867324676996696 0.00073233271573784761 1.0721433508070775e-06
0.40125 5.9313323887822101e-11 -0.0016442222796170412 -0.0004363429696479651 1.8700682133989577e-06 5.9303052741770992e-11 -0.0010511788077106283 0.00072700638032086593 1.1113962475644023e-06
0.40875 5.9305997816490243e-11 -0.001575196658926775 -0.00041117762175811357 1.8978835724135858e-06 5.9306152182299119e-11 -0.0010171449215924928 0.00072129977661854758 1.1513742903176768e-06
0.41625000000000001 5.9295187160568137e-11 -0.0015052518605696509 -0.00038538768954507328 1.9246734838923535e-06 5.9311238592948929e-11 -0.00098428455917344971 0.00071529653868676461 1.1920619674816972e-06
0.42374999999999996 5.9285188706584036e-11 -0.0014341130692521135 -0.00035869316724884606 1.9503979309592969e-06 5.9307567853686256e-11 -0.00095226236402133244 0.00070907735206947071 1.2334430158388239e-06
0.43124999999999997 5.9288209927952811e-11 -0.0013614924058589553 -0.00033037365341427642 1.9750076774314887e-06 5.9299765884044593e-11 -0.00092081016603924495 0.00070271830393808636 1.2755083046541214e-06
0.43874999999999997 5.9281804215237005e-11 -0.0012872245866829954 -0.0003004806695168951 1.9984606782800662e-06 5.9294276126658124e-11 -0.00088967384691131951 0.00069628263839010326 1.3182528471267798e-06
0.44624999999999998 5.9276935166858313e-11 -0.0012111678752578716 -0.0002699374915704504 2.0207156023508233e-06 5.9294363848381537e-11 -0.00085857128095617014 0.00068985875877399395 1.361671907126964e-06
0.45374999999999999 5.9275563650897922e-11 -0.0011332674448846472 -0.00023875917166719604 2.0417253920917723e-06 5.927993075189018e-11 -0.00082739338805093811 0.00068346371671405967 1.4057597092209877e-06
0.46124999999999999 5.9280326773045643e-11 -0.0010534301389100659 -0.000206212966238562 2.0614628716768435e-06 5.9274981381652946e-11 -0.00079604944819819791 0.00067710887480075391 1.4505102420725088e-06
0.46875 5.9284161950505105e-11 -0.00097198269258941348 -0.0001726398666495257 2.0798844458394706e-06 5.9274849479621182e-11 -0.00076438826440164626 0.00067082490552558202 1.4959194452412573e-06
0.47625000000000001 5.9281032475579056e-11 -0.00089323288755230443 -0.00013830307065478651 2.0969535136733194e-06 5.9269874176504934e-11 -0.00073191863638151727 0.00066460540469852336 1.5419870153312693e-06
0.48374999999999996 5.9277670471533158e-11 -0.00081918766264406091 -0.00010284511868566876 2.1126457908354834e-06 5.9266396452895053e-11 -0.00069860103330643452 0.00065846937984571311 1.5887161502798282e-06
0.49124999999999996 5.9274924960799522e-11 -0.00075026804874617507 -6.6231994233323705e-05 2.1269059472876414e-06 5.9270183038073626e-11 -0.00066440298808488629 0.00065240770588954715 1.636111667137632e-06
0.49874999999999997 5.9275674241959827e-11 -0.00068666947386154256 -2.9158225575280464e-05 2.1397067835278271e-06 5.9267915700233318e-11 -0.00062885288103685713 0.00064643028312638651 1.6841781657293182e-06
0.50624999999999998 5.9274427581141073e-11 -0.00062836450411978744 7.9579472689130732e-06 2.1510095911714937e-06 5.9266776945433053e-11 -0.00059182488230125128 0.00064054570018731727 1.732918666971027e-06
0.51374999999999993 5.9272863834961317e-11 -0.00057509931334397298 4.5556320223664218e-05 2.1607606364469857e-06 5.9263647622036269e-11 -0.00055309301368563666 0.00063475327402762064 1.7823334345671784e-06
0.52124999999999999 5.9270696619816922e-11 -0.00052644759599475028 8.3420472174340165e-05 2.1689365515125678e-06 5.9263829384551334e-11 -0.00051242317007111043 0.00062907845083993216 1.8324184139806552e-06
0.52874999999999994 5.9265996115240407e-11 -0.00048187900891724617 0.00012052899246848127 2.1754981022698612e-06 5.9262621385764576e-11 -0.00046963800031899324 0.00062347801999761197 1.8831639670051064e-06
0.53625 5.9267975526304502e-11 -0.00044085173750682218 0.00015685887809143662 2.1804177904752408e-06 5.9257503914310154e-11 -0.0004244200418013978 0.00061808846447726582 1.9345550235371998e-06
0.54374999999999996 5.926108605634566e-11 -0.00040284884750505418 0.00019240115003443063 2.1837150480188269e-06 5.9253538917158504e-11 -0.00037669720633115881 0.00061274377866538446 1.9865728358519313e-06
0.55125000000000002 5.9253782494146261e-11 -0.00036740013664722445 0.00022715744482238405 2.1854135620813517e-06 5.9244133566400068e-11 -0.00032623062425502907 0.00060758981116795817 2.0391973762605352e-06
