severity,method,nx,cell_index,z_left_cm,z_center_cm,z_right_cm,r_left_cm,r_center_cm,r_right_cm,dx_cm
50,fv-muscl-minmod,400,235,3.51,3.5175,3.525,0.179998008204,0.17999837208,0.179998673343,0.015
50,fv-muscl-minmod,400,236,3.525,3.5325,3.54,0.179998673343,0.179998922058,0.179999126795,0.015
50,fv-muscl-minmod,400,237,3.54,3.5475,3.555,0.179999126795,0.179999294831,0.179999432328,0.015
50,fv-muscl-minmod,400,238,3.555,3.5625,3.57,0.179999432328,0.179999544487,0.17999963569,0.015
50,fv-muscl-minmod,400,239,3.57,3.5775,3.585,0.17999963569,0.179999709611,0.179999769328,0.015
50,fv-muscl-minmod,400,240,3.585,3.5925,3.6,0.179999769328,0.179999817408,0.179999855984,0.015
50,fv-muscl-minmod,400,241,3.6,3.6075,3.615,0.179999855984,0.179999886826,0.179999911396,0.015
50,fv-muscl-minmod,400,242,3.615,3.6225,3.63,0.179999911396,0.179999930898,0.179999946317,0.015
50,fv-muscl-minmod,400,243,3.63,3.6375,3.645,0.179999946317,0.179999958463,0.179999967991,0.015
50,fv-muscl-minmod,400,244,3.645,3.6525,3.66,0.179999967991,0.179999975437,0.179999981231,0.015
50,fv-muscl-minmod,400,245,3.66,3.6675,3.675,0.179999981231,0.179999985721,0.179999989185,0.015
50,fv-muscl-minmod,400,246,3.675,3.6825,3.69,0.179999989185,0.179999991846,0.179999993881,0.015
50,fv-muscl-minmod,400,247,3.69,3.6975,3.705,0.179999993881,0.17999999543,0.179999996603,0.015
50,fv-muscl-minmod,400,248,3.705,3.7125,3.72,0.179999996603,0.179999997488,0.179999998151,0.015
50,fv-muscl-minmod,400,249,3.72,3.7275,3.735,0.179999998151,0.179999998647,0.179999999015,0.015
50,fv-muscl-minmod,400,250,3.735,3.7425,3.75,0.179999999015,0.179999999286,0.179999999486,0.015
50,fv-muscl-minmod,400,251,3.75,3.7575,3.765,0.179999999486,0.179999999632,0.179999999738,0.015
50,fv-muscl-minmod,400,252,3.765,3.7725,3.78,0.179999999738,0.179999999815,0.17999999987,0.015
50,fv-muscl-minmod,400,253,3.78,3.7875,3.795,0.17999999987,0.179999999909,0.179999999937,0.015
50,fv-muscl-minmod,400,254,3.795,3.8025,3.81,0.179999999937,0.179999999956,0.17999999997,0.015
50,fv-muscl-minmod,400,255,3.81,3.8175,3.825,0.17999999997,0.17999999998,0.179999999986,0.015
50,fv-muscl-minmod,400,256,3.825,3.8325,3.84,0.179999999986,0.179999999991,0.179999999994,0.015
50,fv-muscl-minmod,400,257,3.84,3.8475,3.855,0.179999999994,0.179999999996,0.179999999997,0.015
50,fv-muscl-minmod,400,258,3.855,3.8625,3.87,0.179999999997,0.179999999998,0.179999999999,0.015
50,fv-muscl-minmod,400,259,3.87,3.8775,3.885,0.179999999999,0.179999999999,0.18,0.015
50,fv-muscl-minmod,400,260,3.885,3.8925,3.9,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,261,3.9,3.9075,3.915,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,262,3.915,3.9225,3.93,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,263,3.93,3.9375,3.945,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,264,3.945,3.9525,3.96,0.18,0.18,0.18,0.015
50,fv-muscl-minmod,400,265,3.96,3.9675,3.975,0.18,0.18,0.18,0.015
