severity,slice_label,z_cm,theta_rad,x_cm,y_cm,r_cm
50,upstream,1.951,4.97418836818,0.0465793914898,-0.173836655625,0.179968948851
50,upstream,1.951,5.06145483078,0.0615530056802,-0.169115493206,0.179968948851
50,upstream,1.951,5.14872129338,0.0760581643308,-0.163107259769,0.179968948851
50,upstream,1.951,5.23598775598,0.0899844744256,-0.155857681597,0.179968948851
50,upstream,1.951,5.32325421858,0.103225948336,-0.14742193236,0.179968948851
50,upstream,1.951,5.41052068118,0.11568181045,-0.137864213201,0.179968948851
50,upstream,1.951,5.49778714378,0.127257264136,-0.127257264136,0.179968948851
50,upstream,1.951,5.58505360638,0.137864213201,-0.11568181045,0.179968948851
50,upstream,1.951,5.67232006898,0.14742193236,-0.103225948336,0.179968948851
50,upstream,1.951,5.75958653158,0.155857681597,-0.0899844744256,0.179968948851
50,upstream,1.951,5.84685299418,0.163107259769,-0.0760581643308,0.179968948851
50,upstream,1.951,5.93411945678,0.169115493206,-0.0615530056802,0.179968948851
50,upstream,1.951,6.02138591938,0.173836655625,-0.0465793914898,0.179968948851
50,upstream,1.951,6.10865238198,0.17723481613,-0.0312512800046,0.179968948851
50,upstream,1.951,6.19591884458,0.179284112667,-0.0156853274086,0.179968948851
50,throat,2.451,0,0.09,0,0.09
50,throat,2.451,0.0872664625997,0.0896575228283,0.00784401684729,0.09
50,throat,2.451,0.174532925199,0.0886326977711,0.01562833599,0.09
50,throat,2.451,0.261799387799,0.086933324366,0.0232937140592,0.09
50,throat,2.451,0.349065850399,0.0845723358707,0.0307818128993,0.09
50,throat,2.451,0.436332312999,0.0815677008333,0.0380356435567,0.09
50,throat,2.451,0.523598775598,0.0779422863406,0.045,0.09
50,throat,2.451,0.610865238198,0.073723683986,0.0516218792716,0.09
50,throat,2.451,0.698131700798,0.0689439998807,0.0578508848718,0.09
50,throat,2.451,0.785398163397,0.0636396103068,0.0636396103068,0.09
50,throat,2.451,0.872664625997,0.0578508848718,0.0689439998807,0.09
50,throat,2.451,0.959931088597,0.0516218792716,0.073723683986,0.09
50,throat,2.451,1.0471975512,0.045,0.0779422863406,0.09
50,throat,2.451,1.1344640138,0.0380356435567,0.0815677008333,0.09
50,throat,2.451,1.2217304764,0.0307818128993,0.0845723358707,0.09
50,throat,2.451,1.308996939,0.0232937140592,0.086933324366,0.09
50,throat,2.451,1.3962634016,0.01562833599,0.0886326977711,0.09
50,throat,2.451,1.4835298642,0.00784401684729,0.0896575228283,0.09
50,throat,2.451,1.57079632679,5.51091059616e-18,0.09,0.09
50,throat,2.451,1.65806278939,-0.00784401684729,0.0896575228283,0.09
50,throat,2.451,1.74532925199,-0.01562833599,0.0886326977711,0.09
50,throat,2.451,1.83259571459,-0.0232937140592,0.086933324366,0.09
50,throat,2.451,1.91986217719,-0.0307818128993,0.0845723358707,0.09
50,throat,2.451,2.00712863979,-0.0380356435567,0.0815677008333,0.09
50,throat,2.451,2.09439510239,-0.045,0.0779422863406,0.09
50,throat,2.451,2.18166156499,-0.0516218792716,0.073723683986,0.09
50,throat,2.451,2.26892802759,-0.0578508848718,0.0689439998807,0.09
50,throat,2.451,2.35619449019,-0.0636396103068,0.0636396103068,0.09
50,throat,2.451,2.44346095279,-0.0689439998807,0.0578508848718,0.09
50,throat,2.451,2.53072741539,-0.073723683986,0.0516218792716,0.09
50,throat,2.451,2.61799387799,-0.0779422863406,0.045,0.09
50,throat,2.451,2.70526034059,-0.0815677008333,0.0380356435567,0.09
50,throat,2.451,2.79252680319,-0.0845723358707,0.0307818128993,0.09
50,throat,2.451,2.87979326579,-0.086933324366,0.0232937140592,0.09
50,throat,2.451,2.96705972839,-0.0886326977711,0.01562833599,0.09
50,throat,2.451,3.05432619099,-0.0896575228283,0.00784401684729,0.09
50,throat,2.451,3.14159265359,-0.09,1.10218211923e-17,0.09
50,throat,2.451,3.22885911619,-0.0896575228283,-0.00784401684729,0.09
50,throat,2.451,3.31612557879,-0.0886326977711,-0.01562833599,0.09
50,throat,2.451,3.40339204139,-0.086933324366,-0.0232937140592,0.09
50,throat,2.451,3.49065850399,-0.0845723358707,-0.0307818128993,0.09
50,throat,2.451,3.57792496659,-0.0815677008333,-0.0380356435567,0.09
50,throat,2.451,3.66519142919,-0.0779422863406,-0.045,0.09
50,throat,2.451,3.75245789179,-0.073723683986,-0.0516218792716,0.09
50,throat,2.451,3.83972435439,-0.0689439998807,-0.0578508848718,0.09
50,throat,2.451,3.92699081699,-0.0636396103068,-0.0636396103068,0.09
50,throat,2.451,4.01425727959,-0.0578508848718,-0.0689439998807,0.09
50,throat,2.451,4.10152374219,-0.0516218792716,-0.073723683986,0.09
50,throat,2.451,4.18879020479,-0.045,-0.0779422863406,0.09
50,throat,2.451,4.27605666739,-0.0380356435567,-0.0815677008333,0.09
50,throat,2.451,4.36332312999,-0.0307818128993,-0.0845723358707,0.09
50,throat,2.451,4.45058959259,-0.0232937140592,-0.086933324366,0.09
50,throat,2.451,4.53785605519,-0.01562833599,-0.0886326977711,0.09
50,throat,2.451,4.62512251778,-0.00784401684729,-0.0896575228283,0.09
50,throat,2.451,4.71238898038,-1.65327317885e-17,-0.09,0.09
50,throat,2.451,4.79965544298,0.00784401684729,-0.0896575228283,0.09
50,throat,2.451,4.88692190558,0.01562833599,-0.0886326977711,0.09
50,throat,2.451,4.97418836818,0.0232937140592,-0.086933324366,0.09
50,throat,2.451,5.06145483078,0.0307818128993,-0.0845723358707,0.09
50,throat,2.451,5.14872129338,0.0380356435567,-0.0815677008333,0.09
50,throat,2.451,5.23598775598,0.045,-0.0779422863406,0.09
