severity,particle_id,seed_label,sample_index,z_cm,x_cm,y_cm,r_cm,r_over_r0,t_s,ux_cm_s,uy_cm_s,uz_cm_s
73,2,theta0,45,1.13166666667,0.0340205539802,-2.49911103804e-07,0.0340205539812,0.189003077673,1.1295089224,1.79220195599e-08,-3.3981264603e-09,0.957642761488
73,2,theta0,46,1.15625,0.0340205539222,-2.49905652915e-07,0.0340205539231,0.18900307735,1.15517961482,-2.13116985984e-08,4.85915966152e-09,0.957641625196
73,2,theta0,47,1.18083333333,0.0340205528503,-2.49655574321e-07,0.0340205528512,0.189003071396,1.18085031797,-6.31575675906e-08,1.46111168403e-08,0.957641732487
73,2,theta0,48,1.20541666667,0.0340205506303,-2.49156180966e-07,0.0340205506312,0.189003059062,1.20652100615,-1.10758839552e-07,2.42832528359e-08,0.957642741743
73,2,theta0,49,1.23,0.0340205476617,-2.48473876593e-07,0.0340205476626,0.18900304257,1.23219166593,-3.62299974905e-08,1.88341257541e-08,0.957642248983
73,2,theta0,50,1.25458333333,0.0340205489721,-2.48565341409e-07,0.0340205489731,0.18900304985,1.25786236601,1.31626623471e-07,-2.60661822832e-08,0.957641408392
73,2,theta0,51,1.27916666667,0.0340205541338,-2.49779690633e-07,0.0340205541347,0.189003078526,1.28353307265,2.65112909865e-07,-6.78058241578e-08,0.957641720812
73,2,theta0,52,1.30375,0.034020562306,-2.52008710768e-07,0.0340205623069,0.189003123927,1.30920375622,3.66176446664e-07,-1.05119175442e-07,0.957643131107
73,2,theta0,53,1.32833333333,0.034020568775,-2.54529291044e-07,0.034020568776,0.189003159867,1.33487441514,-2.16694653977e-08,-5.92624751394e-08,0.957642542585
73,2,theta0,54,1.35291666667,0.0340205624998,-2.54393990246e-07,0.0340205625007,0.189003125004,1.36054509727,-4.26887133093e-07,6.60990548032e-08,0.957642271279
73,2,theta0,55,1.3775,0.0340205489295,-2.51325879686e-07,0.0340205489304,0.189003049614,1.38621578363,-5.90025294372e-07,1.69232328035e-07,0.95764222566
73,2,theta0,56,1.40208333333,0.0340205342785,-2.45895577232e-07,0.0340205342794,0.189002968219,1.41188646833,-5.11083879085e-07,2.50137142344e-07,0.957642392675
73,2,theta0,57,1.42666666667,0.0340205309665,-2.40657230244e-07,0.0340205309674,0.189002949819,1.43755719066,2.57958188522e-07,1.18530372801e-07,0.95763957
73,2,theta0,58,1.45125,0.0340205419763,-2.39986938341e-07,0.0340205419772,0.189003010984,1.46322795627,4.65714985009e-07,-5.42915684846e-08,0.957639407242
73,2,theta0,59,1.47583333333,0.0340205479923,-2.42827686792e-07,0.0340205479931,0.189003044406,1.48889869146,-1.31114944969e-07,-1.55013734874e-07,0.957641846527
