severity,nx,requested_time_s,elapsed_time_s,z_cm,a_cm2,q_cm3_s,u_cm_s
23.0,100,0.001,0.001,4.95,0.032399999007964024,-1.019835850390718e-6,-3.147641609927331e-5
23.0,100,0.001,0.001,5.01,0.03239999965445071,-3.5523583751832136e-7,-1.0964069176140362e-5
23.0,100,0.001,0.001,5.069999999999999,0.0323999998837696,-1.1948960237745718e-7,-3.6879507038922587e-6
23.0,100,0.001,0.001,5.13,0.03239999996220891,-3.8851094169177796e-8,-1.1991078461263392e-6
23.0,100,0.001,0.001,5.1899999999999995,0.0323999999881116,-1.2221964103955815e-8,-3.7722111445803614e-7
23.0,100,0.001,0.001,5.25,0.03239999999637836,-3.7232803032718745e-9,-1.1491605875580429e-7
23.0,100,0.001,0.001,5.31,0.0323999999989307,-1.099310100819109e-9,-3.3929324100474985e-8
23.0,100,0.001,0.001,5.37,0.032399999999693785,-3.1480870324755846e-10,-9.716318001559683e-9
23.0,100,0.001,0.001,5.43,0.03239999999991488,-8.750688168553084e-11,-2.700829681659282e-9
23.0,100,0.001,0.001,5.49,0.03239999999997701,-2.362106519939471e-11,-7.290452222040578e-10
23.0,100,0.001,0.001,5.55,0.03239999999999397,-6.194362492166224e-12,-1.9118402753603016e-10
23.0,100,0.001,0.001,5.609999999999999,0.032399999999998465,-1.5748775534757657e-12,-4.860733189740248e-11
23.0,100,0.001,0.001,5.67,0.032399999999999624,-3.8672878281940594e-13,-1.1936073543808965e-11
23.0,100,0.001,0.001,5.7299999999999995,0.0323999999999999,-9.486730378498257e-14,-2.9280032032402117e-12
23.0,100,0.001,0.001,5.79,0.03239999999999998,-1.9196990861747707e-14,-5.924997179551766e-13
23.0,100,0.001,0.001,5.85,0.0324,-1.9198946662473106e-15,-5.925600821750959e-14
23.0,100,0.001,0.001,5.91,0.0324,0.0,0.0
23.0,100,0.001,0.001,5.97,0.0324,0.0,0.0
23.0,100,0.01,0.00999999999999976,0.03,0.03226717076744579,-0.005028951872224536,-0.1558535115603697
23.0,100,0.01,0.00999999999999976,0.09,0.032276194709700994,-0.01961800584216566,-0.6078165663150259
23.0,100,0.01,0.00999999999999976,0.15,0.032283407429250795,-0.030560224774302095,-0.9466232720717273
23.0,100,0.01,0.00999999999999976,0.21,0.032291273737320055,-0.040290806649761986,-1.2477304852548017
