severity,z_cm,r0_cm,rbase_cm,s_fraction
23,3.43333333333,0.179993822735,0.18,3.43181366003e-05
23,3.46666666667,0.179997215526,0.18,1.54692997855e-05
23,3.5,0.179998806291,0.18,6.63171903814e-06
23,3.53333333333,0.179999515544,0.18,2.69142206544e-06
23,3.56666666667,0.179999814847,0.18,1.02863051699e-06
23,3.6,0.179999933753,0.18,3.6804067971e-07
23,3.63333333333,0.179999977956,0.18,1.22469361985e-07
23,3.66666666667,0.179999993228,0.18,3.76247085709e-08
23,3.7,0.179999998095,0.18,1.05856080568e-08
23,3.73333333333,0.179999999513,0.18,2.70322719764e-09
23,3.76666666667,0.179999999888,0.18,6.20473561419e-10
23,3.8,0.179999999977,0.18,1.26645027798e-10
23,3.83333333333,0.179999999996,0.18,2.27196039759e-11
23,3.86666666667,0.179999999999,0.18,3.53694851185e-12
23,3.9,0.18,0.18,4.71178651651e-13
23,3.93333333333,0.18,0.18,5.28466159722e-14
23,3.96666666667,0.18,0.18,4.88498130835e-15
23,4,0.18,0.18,3.33066907388e-16
23,4.03333333333,0.18,0.18,0
23,4.06666666667,0.18,0.18,0
23,4.1,0.18,0.18,0
23,4.13333333333,0.18,0.18,0
23,4.16666666667,0.18,0.18,0
23,4.2,0.18,0.18,0
23,4.23333333333,0.18,0.18,0
23,4.26666666667,0.18,0.18,0
23,4.3,0.18,0.18,0
23,4.33333333333,0.18,0.18,0
23,4.36666666667,0.18,0.18,0
23,4.4,0.18,0.18,0
23,4.43333333333,0.18,0.18,0
23,4.46666666667,0.18,0.18,0
23,4.5,0.18,0.18,0
23,4.53333333333,0.18,0.18,0
23,4.56666666667,0.18,0.18,0
23,4.6,0.18,0.18,0
23,4.63333333333,0.18,0.18,0
23,4.66666666667,0.18,0.18,0
23,4.7,0.18,0.18,0
23,4.73333333333,0.18,0.18,0
23,4.76666666667,0.18,0.18,0
23,4.8,0.18,0.18,0
23,4.83333333333,0.18,0.18,0
23,4.86666666667,0.18,0.18,0
23,4.9,0.18,0.18,0
23,4.93333333333,0.18,0.18,0
23,4.96666666667,0.18,0.18,0
23,5,0.18,0.18,0
23,5.03333333333,0.18,0.18,0
23,5.06666666667,0.18,0.18,0
23,5.1,0.18,0.18,0
23,5.13333333333,0.18,0.18,0
23,5.16666666667,0.18,0.18,0
23,5.2,0.18,0.18,0
23,5.23333333333,0.18,0.18,0
23,5.26666666667,0.18,0.18,0
23,5.3,0.18,0.18,0
23,5.33333333333,0.18,0.18,0
23,5.36666666667,0.18,0.18,0
23,5.4,0.18,0.18,0
23,5.43333333333,0.18,0.18,0
23,5.46666666667,0.18,0.18,0
23,5.5,0.18,0.18,0
23,5.53333333333,0.18,0.18,0
23,5.56666666667,0.18,0.18,0
23,5.6,0.18,0.18,0
23,5.63333333333,0.18,0.18,0
23,5.66666666667,0.18,0.18,0
23,5.7,0.18,0.18,0
23,5.73333333333,0.18,0.18,0
23,5.76666666667,0.18,0.18,0
23,5.8,0.18,0.18,0
23,5.83333333333,0.18,0.18,0
23,5.86666666667,0.18,0.18,0
23,5.9,0.18,0.18,0
23,5.93333333333,0.18,0.18,0
23,5.96666666667,0.18,0.18,0
23,6,0.18,0.18,0
40,0,0.18,0.18,0
40,0.0333333333333,0.18,0.18,0
40,0.0666666666667,0.18,0.18,0
40,0.1,0.18,0.18,0
40,0.133333333333,0.18,0.18,0
40,0.166666666667,0.18,0.18,0
40,0.2,0.18,0.18,0
40,0.233333333333,0.18,0.18,0
40,0.266666666667,0.18,0.18,0
40,0.3,0.18,0.18,0
