case_label,severity,node_id,z_cm,x_cm,y_cm,r_cm,theta_rad,ux_cm_s,uy_cm_s,uz_cm_s,speed_cm_s,xdmf_time_s,source
60,40,73,0.325,9.72929056894e-08,0.180236224869,0.180236224869,1.57079578699,0.000413066850167,-0.000196692158453,-0.8711028259,0.871102946042,0.9995,node-centered-resolved-3d-velocity
60,40,74,0.475,9.48107260593e-08,0.180233241019,0.180233241019,1.57079580075,0.000498863903697,-0.000853237098852,-0.864168473915,0.864169039128,0.9995,node-centered-resolved-3d-velocity
60,40,75,0.45,1.11241672857e-07,0.180233788403,0.180233788403,1.57079570959,0.000931278199653,5.40521993539e-05,-0.875460565193,0.875461062189,0.9995,node-centered-resolved-3d-velocity
60,40,76,0.425,1.05880965878e-07,0.180234265122,0.180234265122,1.57079573933,-0.0018215564221,-0.000180269664358,-0.873073446578,0.873075365409,0.9995,node-centered-resolved-3d-velocity
60,40,77,0.575,-3.53089790345e-08,0.180231298293,0.180231298293,1.5707965227,0.000970855199149,0.00120536184651,-0.866036587699,0.866037970698,0.9995,node-centered-resolved-3d-velocity
60,40,78,0.55,6.75647032863e-08,0.180231825822,0.180231825822,1.57079595192,0.000917144142619,-0.000723451698143,-0.869564349182,0.869565133791,0.9995,node-centered-resolved-3d-velocity
60,40,79,0.525,9.8745268003e-08,0.180232310319,0.180232310319,1.57079577892,0.000133635216896,0.000440412515284,-0.871630430908,0.871630552417,0.9995,node-centered-resolved-3d-velocity
60,40,80,0.675,4.99248226058e-08,0.180229352944,0.180229352944,1.57079604979,6.3639682004e-05,-0.000951823312031,-0.862646565947,0.862647093404,0.9995,node-centered-resolved-3d-velocity
60,40,81,0.65,1.08704524327e-07,0.180229907084,0.180229907084,1.57079572365,-0.000495788268733,0.000220946015403,-0.867877765122,0.86787793486,0.9995,node-centered-resolved-3d-velocity
60,40,82,0.625,1.1131903569e-07,0.180230371611,0.180230371611,1.57079570915,0.000719287562186,0.000777534331154,-0.872944348575,0.872944991189,0.9995,node-centered-resolved-3d-velocity
