severity,mesh_kind,line_group,z1_cm,x1_cm,y1_cm,z2_cm,x2_cm,y2_cm,source_index
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,0.0688830178257,-0.166298315852,0.09375,0.100002641944,-0.149664530214,59
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,0.100002641944,-0.149664530214,0.09375,0.127279220614,-0.127279220614,60
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,0.127279220614,-0.127279220614,0.09375,0.149664530214,-0.100002641944,61
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,0.149664530214,-0.100002641944,0.09375,0.166298315852,-0.0688830178257,62
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,0.166298315852,-0.0688830178257,0.09375,0.176541350473,-0.0351162579629,63
50,fem-gridap-tetrahedral,wall-circumferential,0.09375,0.176541350473,-0.0351162579629,0.09375,0.18,0,64
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.18,0,0.1875,0.176541350473,0.0351162579629,65
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.176541350473,0.0351162579629,0.1875,0.166298315852,0.0688830178257,66
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.166298315852,0.0688830178257,0.1875,0.149664530214,0.100002641944,67
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.149664530214,0.100002641944,0.1875,0.127279220614,0.127279220614,68
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.127279220614,0.127279220614,0.1875,0.100002641944,0.149664530214,69
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.100002641944,0.149664530214,0.1875,0.0688830178257,0.166298315852,70
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.0688830178257,0.166298315852,0.1875,0.0351162579629,0.176541350473,71
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,0.0351162579629,0.176541350473,0.1875,1.10218211923e-17,0.18,72
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,1.10218211923e-17,0.18,0.1875,-0.0351162579629,0.176541350473,73
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.0351162579629,0.176541350473,0.1875,-0.0688830178257,0.166298315852,74
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.0688830178257,0.166298315852,0.1875,-0.100002641944,0.149664530214,75
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.100002641944,0.149664530214,0.1875,-0.127279220614,0.127279220614,76
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.127279220614,0.127279220614,0.1875,-0.149664530214,0.100002641944,77
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.149664530214,0.100002641944,0.1875,-0.166298315852,0.0688830178257,78
50,fem-gridap-tetrahedral,wall-circumferential,0.1875,-0.166298315852,0.0688830178257,0.1875,-0.176541350473,0.0351162579629,79
