case_label,severity,model,nx,dt_s,initial_condition,backend,run_status,half_width_cm,z_cm,mean_u3d_cm_s,mean_u1d_cm_s,abs_velocity_discrepancy_cm_s,relative_discrepancy,node_count,observed_radius_cm,xdmf_time_s,time_offset_s,target_time_s,time_atol_s,one_d_completed_time_s,one_d_terminal_time_error_s,xdmf_target_time_error_s,cross_model_time_offset_s
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,0.9949748743718593,11.606171705822238,22.46981930040435,10.863647594582112,0.9360233391284709,67,0.1801229082749188,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.0251256281407035,11.492414733401091,22.469968054671245,10.977553321270154,0.955199892792368,68,0.1801224288279207,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.0552763819095476,11.700996583334465,22.470117110416496,10.76912052708203,0.920359257468745,70,0.1801219484148123,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.085427135678392,26.262698765354394,22.470266508659225,3.792432256695168,0.144403752659956,41,0.1801212008576137,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.1155778894472361,26.577943150416054,22.470416136094443,4.107527014321612,0.15454645948617404,46,0.1801204931677926,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.1457286432160805,14.07692420969271,22.470566010780164,8.393641801087455,0.5962695881610265,82,0.18012014000804547,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.1758793969849246,14.165356010988543,22.470716122827433,8.30536011183889,0.5863149578024119,81,0.1801195792602266,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.2060301507537687,14.497677545272413,22.47086638698809,7.973188841715675,0.5499631797449981,80,0.18011908079101124,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.236180904522613,25.462050804180475,22.471016836493593,2.9910339676868816,0.11747026940955597,46,0.18011825141590782,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.2663316582914572,24.293079903493993,22.471167381872565,1.821912521621428,0.074997181454929,50,0.18011781455646253,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.2964824120603016,13.118091137797286,22.47131803815649,9.353226900359203,0.7130021282905756,73,0.18011721066965744,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.3266331658291457,14.971158936532555,22.471468737491573,7.500309800959018,0.5009839139879008,78,0.18011669848442244,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.35678391959799,12.646396518328107,22.471619478640015,9.825222960311908,0.7769187804662346,79,0.1801162400813124,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.3869346733668342,26.01317742213309,22.47177021877544,3.5414072033576502,0.1361389708719118,36,0.1801155145411814,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.4170854271356783,26.340935677358654,22.47192093042605,3.869014746932603,0.14688220624820908,38,0.1801148015002601,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.4472361809045227,12.443373045012212,22.47207157372367,10.028698528711459,0.805946948020766,68,0.1801143617280389,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
77,23.0,canic-extended-1d,400,1.0e-5,geometry-rest,native,ok,0.0075,1.4773869346733668,12.343111549213939,22.472222112777494,10.129110563563556,0.8206286172799451,69,0.1801138675814667,0.9994999999999453,5.473399511402022e-14,0.9995,1.0e-6,0.9995,0.0,5.473399511402022e-14,5.473399511402022e-14
