z u1d77 u3d77 err77 u1d60 u3d60 err60
1.025125628 22.40227939 17.32102559 5.081253802 22.32040125 16.81093657 5.509464684
1.055276382 22.40266577 17.1391459 5.263519867 22.3207827 16.62729665 5.693486048
1.085427136 22.40305216 12.94758946 9.455462701 22.32116417 13.089061 9.232103168
1.115577889 22.40343858 17.38210469 5.021333891 22.32154567 18.47830438 3.843241285
1.145728643 22.40382502 17.29203356 5.111791459 22.32192718 16.73835013 5.583577055
1.175879397 22.40421148 16.74746881 5.656742675 22.32230872 17.40423979 4.918068938
1.206030151 22.40459797 18.00854514 4.396052826 22.32269029 16.9074742 5.415216084
1.236180905 22.40498448 12.4874958 9.917488683 22.32307187 12.61417265 9.708899222
1.266331658 22.40537102 17.07511721 5.330253803 22.32345348 17.64641493 4.677038554
1.296482412 22.40575757 17.52662818 4.879129391 22.32383511 16.67911821 5.644716905
1.326633166 22.40614415 16.97269607 5.433448086 22.32421677 16.83202801 5.492188757
1.35678392 22.40653076 17.53587712 4.87065364 22.32459844 17.74198403 4.582614417
1.386934673 22.40691739 12.7264599 9.680457485 22.32498014 12.7261754 9.598804748
1.417085427 22.40730404 17.5260131 4.881290941 22.32536187 17.13423821 5.191123657
1.447236181 22.40769071 16.61635075 5.791339959 22.32574361 16.96001046 5.365733156
1.477386935 22.40807741 17.88548088 4.52259653 22.32612538 17.01342424 5.312701144
1.507537688 22.40846413 16.64069342 5.767770712 22.32650717 16.49715772 5.829349459
1.537688442 22.40885088 12.53572305 9.873127826 22.32688899 12.92626368 9.400625305
1.567839196 22.40923764 16.84849205 5.560745592 22.32727083 17.56986341 4.757407416
1.59798995 22.40962444 17.70122127 4.708403163 22.32765269 18.1443222 4.183330488
1.628140704 22.41001125 17.05842815 5.351583104 22.32803457 17.14284224 5.185192328
1.658291457 22.41039809 17.59686591 4.813532178 22.32841648 17.60502406 4.723392414
1.688442211 22.41078495 13.58412007 8.826664879 22.3287984 13.09541176 9.233386641
1.718592965 22.41117183 16.88448309 5.526688747 22.32918036 18.10224363 4.226936728
1.748743719 22.41155874 17.75941267 4.652146068 22.32956233 16.76206916 5.56749317
1.778894472 22.41194567 17.74051231 4.671433368 22.32994433 16.85291746 5.477026868
1.809045226 22.41233262 17.09508862 5.317244002 22.33032633 17.62426441 4.706061914
1.83919598 22.41271833 13.14849822 9.264220105 22.33070617 13.28032911 9.050377057
1.869346734 22.41304365 17.15063201 5.262411639 22.33098104 16.79548093 5.535500107
1.899497487 22.41195207 17.80267276 4.609279308 22.32879365 17.75814899 4.570644663
1.929648241 22.39343895 17.24286058 5.150578372 22.2963299 17.73084084 4.565489057
1.959798995 22.25555841 12.44164621 9.813912201 22.05638251 12.55918183 9.497200682
1.989949749 21.63955064 16.58107885 5.05847179 20.98488551 16.3202257 4.664659811
2.020100503 19.8739369 16.61485298 3.259083922 17.9109737 17.34376507 0.5672086302
2.050251256 16.49121228 17.56036235 1.069150066 12.00918321 16.9372693 4.928086091
2.08040201 12.09801703 18.03372743 5.935710401 4.316745854 17.38473768 13.06799182
2.110552764 8.461934706 11.65767506 3.195740351 -2.149714316 13.26007211 15.40978643
2.140703518 7.417861895 17.19396994 9.776108044 -4.080028072 12.91487644 16.99490451
2.170854271 9.675023568 19.83435272 10.15932915 0.632108355 21.23714846 20.6050401
2.201005025 14.56164132 22.83785951 8.276218195 10.67260872 22.82424919 12.15164047
2.231155779 20.63078042 20.76527018 0.1344897652 23.45242351 23.92446698 0.472043468
2.261306533 26.46093255 17.30785862 9.153073925 36.20335528 19.20148949 17.00186579
2.291457286 31.15200307 24.02868241 7.123320655 46.77490082 29.94965707 16.82524374
2.32160804 34.40845973 26.71479346 7.693666274 54.24334428 32.30216542 21.94117885
2.351758794 36.36399727 25.32974942 11.03424785 58.75562971 30.46805193 28.28757778
2.381909548 37.35100668 26.31649784 11.03450884 61.02663181 37.74162689 23.28500492
2.412060302 37.73147469 18.24594784 19.48552685 61.90012787 23.51314666 38.3869812
2.442211055 37.81441191 26.20173306 11.61267885 62.09919288 38.91274683 23.18644605
2.472361809 37.83089273 26.0126785 11.81821423 62.14249227 36.84052947 25.3019628
2.502512563 37.93688936 26.7435174 11.19337196 62.34889183 37.31985739 25.02903444
2.532663317 38.22352085 26.95036101 11.27315984 62.86781483 37.81669462 25.05112021
2.56281407 38.72560449 17.08776211 21.63784239 63.70847039 27.14798978 36.56048061
2.592964824 39.42695118 22.92412677 16.50282442 64.76485394 34.73448523 30.03036871
