case_id,paper_severity_percent,imported_case,model,coordinate_mode,z_cm,reference_time_s,imported_time_s,paper_time_offset_s,local_target_time_s,imported_local_target_time_offset_s,local_completed_time_s,imported_local_time_offset_s,time_alignment_tolerance_s,local_time_target_policy,time_alignment_status,area_cm2,mean_velocity_3d_cm_s,mean_velocity_1d_cm_s,velocity_abs_error_cm_s,velocity_rel_error,mean_pressure_3d_dyn_cm2,pressure_1d_dyn_cm2,pressure_abs_error_dyn_cm2,pressure_comparison_status,intersection_count,velocity_cut_status,pressure_cut_status
sev23,23.0,77,canic-extended-1d,deformed,1.8090452261306533,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10172950890243421,22.12340747022066,22.468726254694495,0.3453187844738359,0.015608752175208736,1330.6041698640665,1561.02306798795,230.41889812388354,common_section41_outlet_pressure_gauge_operator_applied,2141,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,1.8391959798994975,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10174444935926143,22.10152471792342,22.468894268150173,0.36736955022675133,0.016621909796514168,1323.4945785784432,1553.0136085045376,229.5190299260944,common_section41_outlet_pressure_gauge_operator_applied,2197,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,1.8693467336683418,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10168614644663668,22.070607972881554,22.469110466172562,0.3985024932910086,0.01805580044648765,1316.313783987606,1542.8422524670289,226.52846847942283,common_section41_outlet_pressure_gauge_operator_applied,2091,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,1.899497487437186,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10157621343410399,22.126071051589552,22.47116944295858,0.345098391369028,0.01559691237384126,1309.0009671437372,1466.5047081799885,157.5037410362513,common_section41_outlet_pressure_gauge_operator_applied,2203,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,1.92964824120603,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10157119111927737,22.126097894355063,22.47723573229409,0.351137837939028,0.015869849243892765,1301.3240883919968,1246.2819608741293,55.042127517867584,common_section41_outlet_pressure_gauge_operator_applied,2115,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,1.9597989949748744,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.10154696429193025,22.12906518397835,22.513165048196374,0.38409986421802245,0.017357256667855734,1293.1057592713305,419.2990205392868,873.8067387320436,common_section41_outlet_pressure_gauge_operator_applied,1973,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,1.9899497487437185,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.1014445717084059,22.17107445982153,22.611117573121955,0.4400431133004261,0.019847622364801185,1283.8676848248965,-1667.8781668557228,2951.745851680619,common_section41_outlet_pressure_gauge_operator_applied,2023,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,2.020100502512563,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.09956104069282098,22.469486198421453,22.852332942021995,0.38284674360054183,0.01703851793582347,1271.048600438783,-4046.127608092757,5317.17620853154,common_section41_outlet_pressure_gauge_operator_applied,1967,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,2.050251256281407,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.09681300892002195,23.003331062611668,23.377935747468324,0.37460468485665643,0.016284801702720265,1251.7870711522417,-7002.177195016125,8253.964266168367,common_section41_outlet_pressure_gauge_operator_applied,1836,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,2.080402010050251,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.09428789366676621,23.64305546651216,24.193274054796554,0.5502185882843946,0.023271890093212358,1227.1598712409323,-7596.355597947621,8823.515469188555,common_section41_outlet_pressure_gauge_operator_applied,1751,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,2.1105527638190953,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.09039493821913096,24.314179275547307,25.558689909175925,1.244510633628618,0.05118456270001342,1192.137991884172,-3706.401753010556,4898.539744894728,common_section41_outlet_pressure_gauge_operator_applied,1617,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,2.14070351758794,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.08396234031309177,25.765852753336564,27.18285710311808,1.417004349781518,0.05499543769604218,1136.3442945303086,1251.0292798731903,114.68498534288165,common_section41_outlet_pressure_gauge_operator_applied,1537,valid,valid
sev23,23.0,77,canic-extended-1d,deformed,2.170854271356784,0.9994999999999453,0.9994999999999453,-0.0005000000000546789,0.9994999999999453,0.0,0.9994999999999453,0.0,1.0e-6,per_case_imported_time,source_artifact_reconstruction_comparison_time_aligned,0.07782007793953022,27.626412269954812,29.27714997035029,1.650737700395478,0.05975215617088082,1061.8260983889677,8147.961119026012,7086.135020637044,common_section41_outlet_pressure_gauge_operator_applied,1557,valid,valid
