case_id,paper_severity_percent,model,z_cm,section_radius_cm,r_cm,radial_velocity_cm_s,status
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.0786539710537198,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.08222914521834652,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.08580431938297325,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.08937949354759997,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.0929546677122267,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.09652984187685343,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.10010501604148014,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.10368019020610687,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.1072553643707336,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.11083053853536033,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.11440571269998705,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.11798088686461378,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.1215560610292405,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.12513123519386724,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.12870640935849395,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.13228158352312067,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.1358567576877474,0.0,postprocessed_1d_radial_velocity
sev23,23.0,canic-extended-1d,2.451133588085213,0.13943193185237412,0.13943193185237412,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.0,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,1.3943191535578042e-7,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.0035753131735529217,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.007150486915190488,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.010725660656828053,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.014300834398465618,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.017876008140103185,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.02145118188174075,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.025026355623378318,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.028601529365015883,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.03217670310665345,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.035751876848291016,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.03932705058992858,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.042902224331566145,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.04647739807320371,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.050052571814841275,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.05362774555647884,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.05720291929811641,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.060778093039753976,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.06435326678139154,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.06792844052302911,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.07150361426466667,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.07507878800630424,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.0786539617479418,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.08222913548957937,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.08580430923121693,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.0893794829728545,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.09295465671449207,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.09652983045612963,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.1001050041977672,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.10368017793940476,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.10725535168104233,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.11083052542267989,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.11440569916431746,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.11798087290595503,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.12155604664759259,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.12513122038923016,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.12870639413086774,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.13228156787250528,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.13585674161414285,0.0,postprocessed_1d_radial_velocity
sev23,23.0,classical-1d-no-slip,2.451133588085213,0.13943191535578042,0.13943191535578042,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.0,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,1.0786204566698921e-7,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.0027657985749929377,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.005531489287940208,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.008297180000887479,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.011062870713834749,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.013828561426782019,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.01659425213972929,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.01935994285267656,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.02212563356562383,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.024891324278571103,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.02765701499151837,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.030422705704465643,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.03318839641741291,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.035954087130360184,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.038719777843307455,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.04148546855625473,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.04425115926920199,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.047016849982149264,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.049782540695096536,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.05254823140804381,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.05531392212099108,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.058079612833938345,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.06084530354688562,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.0636109942598329,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.06637668497278015,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.06914237568572743,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.0719080663986747,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.07467375711162197,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.07743944782456924,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.08020513853751651,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.08297082925046378,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.08573651996341106,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.08850221067635833,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.0912679013893056,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.09403359210225286,0.0,postprocessed_1d_radial_velocity
sev40,40.0,canic-extended-1d,2.451133588085213,0.10786204566698922,0.09679928281520013,0.0,postprocessed_1d_radial_velocity
