z_cm qC23_t0001 qC23_t001 qC23_t01 qC23_t1 qC40_t0001 qC40_t001 qC40_t01 qC40_t1
0.90374999999999994 0 1.5793050188475532e-14 1.3723479166137985e-14 -4.7226620721174002e-14 0 2.4534020884798312e-14 1.9961605549769843e-14 -2.7904900394021587e-14
0.91125 0 1.5791770295638569e-14 1.5490508381579769e-14 -4.5258904395433476e-14 0 2.2435397802994266e-14 1.9790009898887645e-14 -2.7620338970154002e-14
0.91874999999999996 0 1.5790490658627144e-14 2.0990214388627286e-14 -4.444074763110598e-14 0 2.109997173050536e-14 2.0229168968751627e-14 -2.530308048214781e-14
0.92625000000000002 0 1.5789210973218369e-14 2.4638235324614668e-14 -4.193466508473842e-14 0 2.2355378182490656e-14 1.7941574207665403e-14 -2.4365730363614501e-14
0.93374999999999997 0 1.5787931543593679e-14 2.4508385286302158e-14 -3.9840863975855971e-14 0 2.3928986497768633e-14 1.73956292193669e-14 -2.4380293005477115e-14
0.94124999999999992 0 1.5786652065579485e-14 1.8999182225787661e-14 -3.7372079930178332e-14 0 2.5815600642701947e-14 1.6627259244609114e-14 -2.2628162131856535e-14
0.94874999999999998 0 1.5785372843307919e-14 1.3882519033553103e-14 -3.4745436901302404e-14 0 2.5268188553949731e-14 1.5549595781003583e-14 -2.2441151760875731e-14
0.95624999999999993 0 1.5784093572654703e-14 1.737786901276392e-14 -3.073586630171032e-14 0 2.3978955890452051e-14 1.494040009545555e-14 -2.1960738597852498e-14
0.96375 0 1.5782814557702646e-14 1.6866349036486479e-14 -2.8466410402126769e-14 0 2.606964422061493e-14 1.4208164096674727e-14 -2.1382922492524284e-14
0.97124999999999995 0 1.5781535494376796e-14 1.420401144651845e-14 -2.6076924097790804e-14 0 2.2937650576690181e-14 1.3046807966914985e-14 -2.0574928860849872e-14
0.97875000000000001 0 1.5780256686710652e-14 1.4514124507387406e-14 -2.526814571710558e-14 0 2.3456812460689283e-14 1.2276495200861364e-14 -1.8681530896712575e-14
