severity,nx,dx,elapsed_time_s,requested_time_s,terminal_time_error_s,max_abs_q,max_abs_q_z,max_abs_area_drift,solver_volume_defect,physical_volume_defect,requested_q_in,applied_q_in,inlet_area_flux,outlet_area_flux,boundary_flux_integral,conservation_residual,inlet_cell_q,outlet_cell_q,mean_q,rms_q,lh_area_interior_max_abs,lh_area_boundary_max_abs,lh_flow_interior_max_abs,lh_flow_boundary_max_abs,realized_cfl_max,lambda_minus_min,lambda_plus_max,subcritical_margin_min,positivity_projection_count,positivity_correction_total,status,error_message
23.0,1600,0.00375,0.001,0.001,0.0,0.0028068688192167714,2.071875,1.3971586628296062e-6,5.94246873930615e-14,1.86688161355912e-13,0.0,0.0,1.4739336166984434e-10,0.0,-5.94246873930615e-14,0.0,7.359375698614426e-11,0.0,4.196819939246031e-6,0.0005503384091602086,0.047494192824546935,2.9491444146154455e-8,50.83056053535256,3.032522120823463e-5,0.45000000000000007,-1028.3118965252588,1028.3378414706792,902.2533056607617,0,0.0,ok,
23.0,1600,0.00375,0.01,0.01,0.0,0.0024402680729109652,2.071875,1.00624010954814e-6,1.1138369881980026e-7,3.499222099419426e-7,0.0,0.0,1.4254633450577571e-10,-0.00016321474558474516,-1.1138369881980026e-7,0.0,-7.007834158380843e-6,-0.00016344108801474082,-0.00010057631321400997,0.0004675462725843191,0.047494192824546935,2.9491444146154455e-8,50.83056053535256,3.032522120823463e-5,0.45000000000000007,-1028.3737914435437,1028.4107405995132,902.2490378723119,0,0.0,ok,
23.0,1600,0.00375,0.1,0.1,0.0,0.0025813465942366234,2.071875,6.853003023006565e-7,5.82372858826119e-8,1.8295782949382212e-7,0.0,0.0,5.3898570908315067e-11,0.0001586954285125103,-5.82372858826119e-8,0.0,-2.3666015614459374e-6,0.00015861870566128767,-4.199704379755047e-5,0.0004194344810989973,0.047494192824546935,2.9491444146154455e-8,50.83056053535256,3.032522120823463e-5,0.45000000000000007,-1028.383663817718,1028.4107405995132,902.2490378723119,0,0.0,ok,
23.0,1600,0.00375,1.0,1.0,0.0,0.0024418668847298202,2.071875,7.65558318151921e-7,5.291031218712661e-8,1.6622264806621946e-7,0.0,0.0,1.3453195384035293e-10,-1.0553673420276317e-6,-5.291031218712661e-8,0.0,-5.521115483229569e-10,-1.0500619216316396e-6,-3.9605262732918305e-5,0.00037293585119073955,0.047494192824546935,2.9491444146154455e-8,50.83056053535256,3.032522120823463e-5,0.45000000000000007,-1028.383663817718,1028.4107405995132,902.2490378723119,0,0.0,ok,
23.0,3200,0.001875,0.0,0.0,0.0,0.0,0.0009375,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011889792021940637,5.898288829230891e-8,12.979984856661758,6.065044241646926e-5,NaN,NaN,NaN,NaN,0,0.0,ok,
23.0,3200,0.001875,0.001,0.001,0.0,0.0007030497462768688,2.0709375,3.62975832918222e-7,5.928590951498336e-14,1.8625217779366094e-13,0.0,0.0,-1.4296061403253055e-10,0.0,-5.928590951498336e-14,0.0,9.285388867328237e-11,0.0,1.0041891427331776e-6,0.00013820485390870309,0.011889792021940637,5.898288829230891e-8,12.979984856661758,6.065044241646926e-5,0.45000000000000007,-1028.3021613719409,1028.3086534841268,902.3092629499057,0,0.0,ok,
23.0,3200,0.001875,0.01,0.01,0.0,0.0006110056235216038,2.0709375,3.171158154194331e-7,2.9481655949847863e-8,9.261935374770386e-8,0.0,0.0,1.288144636666039e-10,-4.0828390819919846e-5,-2.9481655949847863e-8,0.0,-4.469414690094894e-7,-4.085408754520722e-5,-2.5332852190546917e-5,0.00011898439220647739,0.011889792021940637,5.898288829230891e-8,12.979984856661758,6.065044241646926e-5,0.45000000000000007,-1028.3201169187919,1028.3309509785802,902.3044892925368,0,0.0,ok,
23.0,3200,0.001875,0.1,0.1,0.0,0.0006499498109476505,2.0709375,1.7851404799859583e-7,1.5366839273278643e-8,4.82763493698273e-8,0.0,0.0,9.915576016782546e-11,4.154780154366579e-5,-1.5366839273278643e-8,0.0,-3.1915005292479044e-7,4.154221840218126e-5,-1.0735302471025812e-5,0.00010583412409736348,0.011889792021940637,5.898288829230891e-8,12.979984856661758,6.065044241646926e-5,0.45000000000000007,-1028.3256963736999,1028.3309509785802,902.3044892925368,0,0.0,ok,
23.0,3200,0.001875,1.0,1.0,0.0,0.0006110379753247415,2.0709375,1.9105163441210382e-7,1.4047670471306617e-8,4.413205835270713e-8,0.0,0.0,-8.823086633496614e-11,-1.5672861675734392e-7,-1.4047670471306617e-8,0.0,2.0232053575917655e-10,-1.5670543342501629e-7,-9.906302451991281e-6,9.327059587954255e-5,0.011889792021940637,5.898288829230891e-8,12.979984856661758,6.065044241646926e-5,0.45000000000000007,-1028.3256963736999,1028.3309509785802,902.3044892925368,0,0.0,ok,
40.0,100,0.06,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.105929155480792e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.102665926706836,1.8432152591346534e-9,8564.372226796637,1.8953263255146644e-6,NaN,NaN,NaN,NaN,0,0.0,ok,
